Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Albany,Weekly,1/7/2019 0:00,Conventional,1.07,129222.29,3789.3,112635.18,158,12639.81,8877.95,3761.86,0
Albany,Weekly,1/7/2019 0:00,Organic,1.41,5006.34,31.85,624.66,0,4349.83,4349.83,0,0
Albany,Weekly,1/13/2019 0:00,Conventional,1.09,133875.68,3134.59,119057.57,193.24,11490.28,8247.7,3222.58,20
Albany,Weekly,1/13/2019 0:00,Organic,1.28,6013.38,35.38,525.16,0,5452.84,5452.84,0,0
Albany,Weekly,1/20/2019 0:00,Conventional,1.17,168796.32,4646.85,145017.45,190.22,18941.8,12096.6,6845.2,0
Albany,Weekly,1/20/2019 0:00,Organic,1.44,4690.37,15.83,521.2,0,4153.34,4153.34,0,0
Albany,Weekly,1/27/2019 0:00,Conventional,1.25,89103.75,3594.66,72427.35,220.21,12861.53,9891.6,2966.6,3.33
Albany,Weekly,1/27/2019 0:00,Organic,1.31,3970.02,16.7,448.22,0,3505.1,3505.1,0,0
Albany,Weekly,2/3/2019 0:00,Conventional,0.98,213344.02,4467.13,195884.03,132.44,12860.42,10403.62,2456.8,0
Albany,Weekly,2/3/2019 0:00,Organic,1.27,4530.76,29.54,427.01,0,4074.21,4074.21,0,0
Albany,Weekly,2/10/2019 0:00,Conventional,1.02,124204.74,5071.69,105911.87,168,13053.18,9722.42,3330.76,0
Albany,Weekly,2/10/2019 0:00,Organic,1.24,4483.93,152.14,462.45,0,3869.34,3869.34,0,0
Albany,Weekly,2/17/2019 0:00,Conventional,1.24,106200.32,4972.37,88494.87,232,12501.08,9376.44,3124.64,0
Albany,Weekly,2/17/2019 0:00,Organic,1.35,3963.57,74.58,549.55,0,3339.44,3339.44,0,0
Albany,Weekly,2/24/2019 0:00,Conventional,1.08,130748.31,4014.41,115060.05,212.07,11461.78,7725.65,3732.8,3.33
Albany,Weekly,2/24/2019 0:00,Organic,1.35,4185.31,45.89,623.59,0,3515.83,3515.83,0,0
Albany,Weekly,3/3/2019 0:00,Conventional,1.3,109572.01,4208.57,91894.92,245,13223.52,7581.66,5615.19,26.67
Albany,Weekly,3/3/2019 0:00,Organic,1.23,5775.92,124.45,535.64,0,5115.83,5115.83,0,0
Albany,Weekly,3/10/2019 0:00,Conventional,0.96,181735.5,3950.79,166195.02,259.21,11330.48,7440.13,3189.24,701.11
Albany,Weekly,3/10/2019 0:00,Organic,1.2,5630,56.17,440.45,0,5133.38,5133.38,0,0
Albany,Weekly,3/17/2019 0:00,Conventional,1.32,108441.54,4115.56,87238.11,243.42,16844.45,9637.89,6306.56,900
Albany,Weekly,3/17/2019 0:00,Organic,1.26,5196.32,106.78,502.37,0,4587.17,4587.17,0,0
Albany,Weekly,3/24/2019 0:00,Conventional,1.4,157694.28,4257.15,139531.42,204,13701.71,9962.35,3709.36,30
Albany,Weekly,3/24/2019 0:00,Organic,1.27,4907.84,71.46,510.12,0,4326.26,4320.84,5.42,0
Albany,Weekly,3/31/2019 0:00,Conventional ,1.25,114676.3,3913.21,90802.73,233.3,19727.06,11886.62,7837.11,3.33
Albany,Weekly,3/31/2019 0:00,Organic,1.57,3091.79,35.83,469.54,0,2586.42,2586.42,0,0
Albany,Weekly,4/7/2019 0:00,Conventional ,1.21,170158.95,5193.29,149841.39,302.65,14821.62,9030.87,5787.42,3.33
Albany,Weekly,4/7/2019 0:00,Organic,1.57,3191.14,114.92,582.03,0,2494.19,2494.19,0,0
Albany,Weekly,4/14/2019 0:00,Conventional ,1.39,101624.43,4283.86,83452.75,255.43,13632.39,8295.76,5329.96,6.67
Albany,Weekly,4/14/2019 0:00,Organic,1.55,4825.59,1327.08,863.83,0,2634.68,2618.45,16.23,0
Albany,Weekly,4/21/2019 0:00,Conventional ,1.4,109870.74,3728.75,91354.29,328.31,14459.39,8497.43,5961.96,0
Albany,Weekly,4/21/2019 0:00,Organic,1.92,2833.15,214.74,724.1,0,1894.31,1894.31,0,0
Albany,Weekly,4/28/2019 0:00,Conventional ,1.47,92531.61,3985.81,75404.18,272.95,12868.67,7533.62,5325.05,10
Albany,Weekly,4/28/2019 0:00,Organic,1.87,2524.23,146.59,658.89,0,1718.75,1712.08,6.67,0
Albany,Weekly,5/5/2019 0:00,Conventional ,1.15,176984.38,5508.48,157496.43,413.21,13566.26,8906,4313.59,346.67
Albany,Weekly,5/5/2019 0:00,Organic,1.89,2750.62,154.02,565.15,0,2031.45,2031.45,0,0
Albany,Weekly,5/12/2019 0:00,Conventional ,1.42,124333.79,4632.56,104854.87,248.47,14597.89,9402.56,5183.11,12.22
Albany,Weekly,5/12/2019 0:00,Organic,1.76,4082.72,44.42,686.03,0,3352.27,3352.27,0,0
Albany,Weekly,5/19/2019 0:00,Conventional ,1.11,139856.74,3590.56,120902.91,275,15088.27,9649.82,5426.22,12.23
Albany,Weekly,5/19/2019 0:00,Organic,1.62,3540.75,115.73,553.72,0,2871.3,2871.3,0,0
Albany,Weekly,5/26/2019 0:00,Conventional ,1.46,124880.62,4780.46,105377.36,261.38,14461.42,8902.29,4729.13,830
Albany,Weekly,5/26/2019 0:00,Organic,1.84,3056.97,66.41,552.21,0,2438.35,2438.35,0,0
Albany,Weekly,6/2/2019 0:00,Conventional ,1.52,117969.06,3396.41,98544.23,281,15747.42,7924.36,4439.72,3383.34
Albany,Weekly,6/2/2019 0:00,Organic,1.88,2439.54,104.12,509.59,0,1825.83,1825.83,0,0
Albany,Weekly,6/9/2019 0:00,Conventional ,1.57,164970.21,5065.27,144127.47,217.01,15560.46,9000.49,6223.31,336.66
Albany,Weekly,6/9/2019 0:00,Organic,1.92,2549.7,147.89,626.97,0,1774.84,1774.84,0,0
Albany,Weekly,6/16/2019 0:00,Conventional ,1.25,151268,3796.12,132610.05,211.08,14650.75,8257.88,6229.54,163.33
Albany,Weekly,6/16/2019 0:00,Organic,1.89,3052.74,114.53,671.19,0,2267.02,2267.02,0,0
Albany,Weekly,7/14/2019 0:00,Conventional ,1.45,113963.23,3137.38,93984.91,274.29,16566.65,9403.86,6378.34,784.45
Albany,Weekly,7/7/2019 0:00,Conventional ,1.48,120639.54,3224.78,97338.5,319.24,19757.02,9348.86,8389.46,2018.7
Albany,Weekly,6/30/2019 0:00,Conventional ,1.43,115974.48,3055.26,89188.85,432.44,23297.93,9481.75,12376.33,1439.85
Albany,Weekly,6/23/2019 0:00,Conventional ,1.15,140874.23,3101.14,117841.69,403.44,19527.96,10479.75,7295.68,1752.53
Albany,Weekly,7/14/2019 0:00,Organic,1.69,2802.52,33.66,608.26,0,2160.6,2160.6,0,0
Albany,Weekly,7/7/2019 0:00,Organic,1.63,3139.55,97.09,620.28,0,2422.18,2422.18,0,0
Albany,Weekly,6/30/2019 0:00,Organic,1.73,3015.38,81.75,421.57,0,2512.06,2512.06,0,0
Albany,Weekly,6/23/2019 0:00,Organic,1.78,2462.15,68.17,304.35,0,2089.63,2089.63,0,0
Albany,Weekly,7/21/2019 0:00,Conventional ,1.49,105964.07,3100.32,87403,304.87,15155.88,7809.41,6493.82,852.65
Albany,Weekly,7/21/2019 0:00,Organic,1.75,2333.95,29.93,503.67,0,1800.35,1800.35,0,0
Albany,Weekly,7/28/2019 0:00,Conventional ,1.58,97976.5,3845.49,78452.83,498.99,15179.19,8689.32,5244.48,1245.39
Albany,Weekly,7/28/2019 0:00,Organic,1.59,2840.16,10.86,305.17,0,2524.13,2517.46,6.67,0
Albany,Weekly,8/4/2019 0:00,Conventional ,1.52,99713.21,4101.18,78518.95,463,16630.08,10142.39,5215.74,1271.95
Albany,Weekly,8/4/2019 0:00,Organic,1.63,3450.07,5.94,339.86,0,3104.27,3104.27,0,0
Albany,Weekly,8/11/2019 0:00,Conventional ,1.45,102644.15,4199.59,78535.94,1809.92,18098.7,11712.3,5101.81,1284.59
Albany,Weekly,8/11/2019 0:00,Organic,1.75,2857.79,0,422.62,0,2435.17,2435.17,0,0
Albany,Weekly,9/8/2019 0:00,Conventional ,1.42,105579.42,8569.5,81170.94,431.3,15407.68,8394.92,5769.43,1243.33
Albany,Weekly,9/1/2019 0:00,Conventional ,1.4,110383.43,9324.44,86864.26,359.57,13835.16,8765.74,4306.09,763.33
Albany,Weekly,8/25/2019 0:00,Conventional ,1.26,106635.8,10403.13,79347.18,471.77,16413.72,11295.81,4461.24,656.67
Albany,Weekly,8/18/2019 0:00,Conventional ,1.36,114794.51,9519.53,87037.79,550.79,17686.4,11765.07,4553.45,1367.88
Albany,Weekly,9/8/2019 0:00,Organic,1.84,2614.53,6.34,351.33,0,2256.86,1542.49,714.37,0
Albany,Weekly,9/1/2019 0:00,Organic,1.89,2328.66,26.64,352.24,0,1949.78,1079.04,870.74,0
Albany,Weekly,8/25/2019 0:00,Organic,1.91,2134.82,41.27,297.66,0,1795.89,984.82,811.07,0
Albany,Weekly,8/18/2019 0:00,Organic,1.65,2377.31,10.09,181.94,0,2185.28,1759.97,425.31,0
Albany,Weekly,10/6/2019 0:00,Conventional ,1.19,113973.95,4901.18,93832.91,100.37,15139.49,7303.97,7445.77,389.75
Albany,Weekly,9/29/2019 0:00,Conventional ,1.3,158252.61,4336.57,141481.51,107.99,12326.54,6848.67,5003.42,474.45
Albany,Weekly,9/22/2019 0:00,Conventional ,1.28,96394.18,5051.95,80074.47,154.61,11113.15,6874.1,3423.49,815.56
Albany,Weekly,9/15/2019 0:00,Conventional ,1.11,115589.55,6640.28,98530.31,143.15,10275.81,6890.65,3072.93,312.23
Albany,Weekly,10/6/2019 0:00,Organic,1.31,4165.93,13.83,248.41,0,3903.69,3249.14,654.55,0
Albany,Weekly,9/29/2019 0:00,Organic,1.49,2880.72,4.72,250.38,0,2625.62,2357.92,267.7,0
Albany,Weekly,9/22/2019 0:00,Organic,1.45,3324.93,4.72,200.45,0,3119.76,2412.29,707.47,0
Albany,Weekly,9/15/2019 0:00,Organic,1.32,4222.82,12.52,229.9,0,3980.4,3085.03,895.37,0
Albany,Weekly,11/3/2019 0:00,Conventional ,1.16,89304.21,3195.71,70932.12,121,15055.38,6487.02,8373.61,194.75
Albany,Weekly,10/27/2019 0:00,Conventional ,1.3,121136.37,3775.95,103065.84,103.57,14191.01,6629.59,7255.83,305.59
Albany,Weekly,10/20/2019 0:00,Conventional ,1.23,114356.19,4392.78,97003.3,126.14,12833.97,7003.16,5419.12,411.69
Albany,Weekly,10/13/2019 0:00,Conventional ,1.3,95971.55,4496.44,79177.9,101.19,12196.02,6233.58,5534.47,427.97
Albany,Weekly,11/3/2019 0:00,Organic,1.59,2836.81,9.03,255.46,0,2572.32,1736.84,835.48,0
Albany,Weekly,10/27/2019 0:00,Organic,1.63,2238.58,3.59,233.51,0,2001.48,1634.25,367.23,0
Albany,Weekly,10/20/2019 0:00,Organic,1.48,2650.1,6,253.22,0,2390.88,2211.72,179.16,0
Albany,Weekly,10/13/2019 0:00,Organic,1.38,3302.71,11.91,249,0,3041.8,2231.67,810.13,0
Albany,Weekly,12/1/2019 0:00,Conventional ,1.15,88296,3121,70033,77,15065,7087,7212,766
Albany,Weekly,11/24/2019 0:00,Conventional ,1.16,92186,3825,73810,135,14415,6627,7311,477
Albany,Weekly,11/17/2019 0:00,Conventional ,1.11,142027,4365,124228,124,13310,7437,5727,147
Albany,Weekly,11/10/2019 0:00,Conventional ,1.14,104657,4271,85506,93,14787,7999,6602,186
Albany,Weekly,12/1/2019 0:00,Organic,1.84,1901,10,284,0,1607,906,701,0
Albany,Weekly,11/24/2019 0:00,Organic,1.71,2544,123,395,0,2026,1311,716,0
Albany,Weekly,11/17/2019 0:00,Organic,1.48,2731,98,247,0,2385,1680,705,0
Albany,Weekly,11/10/2019 0:00,Organic,1.46,3090,3,221,0,2865,2067,798,0
Albany,Weekly,12/29/2019 0:00,Conventional ,1.02,111248.53,3015.9,93284.84,177.29,14770.5,6571.65,7285.52,913.33
Albany,Weekly,12/22/2019 0:00,Conventional ,0.98,113708.87,3495.27,93480.51,128.83,16604.26,6870.97,8798.85,934.44
Albany,Weekly,12/15/2019 0:00,Conventional ,1.04,118778.03,3998.79,96523.01,151.21,18105.02,7233.04,9593.09,1278.89
Albany,Weekly,12/8/2019 0:00,Conventional ,1,116033.98,3480.65,96160.16,135.78,16257.39,6605.98,8309.97,1341.44
Albany,Weekly,12/29/2019 0:00,Organic,1.77,1803.11,98.66,228.34,0,1476.11,826.99,649.12,0
Albany,Weekly,12/22/2019 0:00,Organic,1.68,2149.84,371.87,241.63,0,1536.34,818.16,718.18,0
Albany,Weekly,12/15/2019 0:00,Organic,1.79,1607.56,33.86,195.46,0,1378.24,803.6,574.64,0
Albany,Weekly,12/8/2019 0:00,Organic,1.77,2065.41,23.84,210.51,0,1831.06,968.05,863.01,0
Albany,Weekly,1/26/2020 0:00,Conventional ,1.11,119807.77,4411.65,83404.51,272,31719.61,11175.72,18697.23,1846.66
Albany,Weekly,1/19/2020 0:00,Conventional ,1.03,158753.71,5475.8,127139.63,319.44,25818.84,10230.82,14368.02,1220
Albany,Weekly,1/12/2020 0:00,Conventional ,0.97,134040.63,3934.24,106147.5,209.81,23749.08,8715.36,13781.5,1252.22
Albany,Weekly,1/5/2020 0:00,Conventional ,0.92,185688.43,4038.61,163629.86,193.31,17826.65,7098.37,9384.95,1343.33
Albany,Weekly,1/26/2020 0:00,Organic,1.55,2903.36,116.26,272.8,0,2514.3,1458.83,1055.47,0
Albany,Weekly,1/19/2020 0:00,Organic,1.51,2558.84,422.7,230.23,0,1905.91,889.44,1016.47,0
Albany,Weekly,1/12/2020 0:00,Organic,1.48,2441.56,25.89,209.19,0,2206.48,974.05,1232.43,0
Albany,Weekly,1/5/2020 0:00,Organic,1.47,2152.91,20.57,192.36,0,1939.98,1024.54,915.44,0
Atlanta,Weekly,1/7/2019 0:00,Conventional,0.92,828971.15,388574.98,38902.85,3482.04,398011.28,299475.26,98477.41,58.61
Atlanta,Weekly,1/7/2019 0:00,Organic,1.42,16714.19,265.17,4554.23,0,11894.79,4813.49,7081.3,0
Atlanta,Weekly,1/13/2019 0:00,Conventional,0.91,865343.52,394138.36,36214.71,4837.49,430152.96,311558.27,118556.92,37.77
Atlanta,Weekly,1/13/2019 0:00,Organic,1.69,13862.81,268.98,3362.54,0,10231.29,5843.58,4387.71,0
Atlanta,Weekly,1/20/2019 0:00,Conventional,0.91,846224.79,375933.94,36074.7,4003.5,430212.65,305458.2,124411.11,343.34
Atlanta,Weekly,1/20/2019 0:00,Organic,1.7,17487.44,154.25,3919.76,0,13413.43,6100.78,7312.65,0
Atlanta,Weekly,1/27/2019 0:00,Conventional,0.94,827453.87,373594.69,38276.49,3779.16,411803.53,257216.33,149477.2,5110
Atlanta,Weekly,1/27/2019 0:00,Organic,1.61,12556.39,168.44,4007.12,0,8380.83,5983.76,2397.07,0
Atlanta,Weekly,2/3/2019 0:00,Conventional,0.86,991608.03,454057.94,37760.59,2447.32,497342.18,316644.44,173717.48,6980.26
Atlanta,Weekly,2/3/2019 0:00,Organic,1.21,12730.33,220.97,5095.02,0,7414.34,5259.33,2155.01,0
Atlanta,Weekly,2/10/2019 0:00,Conventional,0.83,832118.96,366101.44,30733.11,3587.04,431697.37,283674.41,143308.72,4714.24
Atlanta,Weekly,2/10/2019 0:00,Organic,1.38,17597.01,214.47,4507.34,0,12875.2,4779.88,8095.32,0
Atlanta,Weekly,2/17/2019 0:00,Conventional,0.89,769226.22,330640.62,30179.99,2900.26,405505.35,282892.75,117695.07,4917.53
Atlanta,Weekly,2/17/2019 0:00,Organic,1.51,12791.41,127.36,3303.35,0,9360.7,5233.5,4127.2,0
Atlanta,Weekly,2/24/2019 0:00,Conventional,0.93,732848.77,306122.42,30468.31,3103.48,393154.56,326538.67,59719.23,6896.66
Atlanta,Weekly,2/24/2019 0:00,Organic,1.49,20462.82,190.2,3533.52,0,16739.1,8499.81,8239.29,0
Atlanta,Weekly,3/3/2019 0:00,Conventional,0.95,785440.79,360641.24,35779.19,2779.53,386240.83,323817.17,56329.69,6093.97
Atlanta,Weekly,3/3/2019 0:00,Organic,1.43,20234.48,105.46,4034.83,0,16094.19,12600.54,3493.65,0
Atlanta,Weekly,3/10/2019 0:00,Conventional,0.92,797655.96,315046.44,29185.37,3072.05,450352.1,375320.62,68168.15,6863.33
Atlanta,Weekly,3/10/2019 0:00,Organic,1.32,16377.76,99.58,4294.73,0,11983.45,10172.6,1810.85,0
Atlanta,Weekly,3/17/2019 0:00,Conventional,0.91,837232.68,376722.12,38429.71,2767.22,419313.63,340710.56,74066.4,4536.67
Atlanta,Weekly,3/17/2019 0:00,Organic,1.37,15328.63,114.9,4245.64,0,10968.09,9082.56,1885.53,0
Atlanta,Weekly,3/24/2019 0:00,Conventional,0.99,710287.11,297452.34,31730.98,2784.72,378319.07,289249.51,83366.71,5702.85
Atlanta,Weekly,3/24/2019 0:00,Organic,1.11,31246.25,335.71,3889.94,0,27020.6,22910.71,4109.89,0
Atlanta,Weekly,3/31/2019 0:00,Conventional ,0.96,748668.25,340550.91,33019.8,2732.39,372365.15,289928.56,72499.88,9936.71
Atlanta,Weekly,3/31/2019 0:00,Organic,1.53,19111.22,109.35,3667.82,0,15334.05,7466.03,7868.02,0
Atlanta,Weekly,4/7/2019 0:00,Conventional ,0.95,779696.47,327482.87,27920.36,3156.08,421137.16,331119.81,80696.4,9320.95
Atlanta,Weekly,4/7/2019 0:00,Organic,1.42,16591.33,112.23,4031.47,0,12447.63,7270.93,5176.7,0
Atlanta,Weekly,4/14/2019 0:00,Conventional ,1.02,797341.77,321594.22,28223.85,2936.54,444587.16,331586.95,100701.17,12299.04
Atlanta,Weekly,4/14/2019 0:00,Organic,1.48,11216.6,155.51,4181.72,0,6879.37,6044.05,835.32,0
Atlanta,Weekly,4/21/2019 0:00,Conventional ,1.19,666177.11,261796.26,31633.15,2668.47,370079.23,271602.73,83264.65,15211.85
Atlanta,Weekly,4/21/2019 0:00,Organic,1.68,15014.08,71.41,3823.43,0,11119.24,5832.72,5286.52,0
Atlanta,Weekly,4/28/2019 0:00,Conventional ,1.26,627503.83,264200.94,28737.32,4040.07,330525.5,258522.75,62117.02,9885.73
Atlanta,Weekly,4/28/2019 0:00,Organic,1.89,19522.47,54.03,3432.69,0,16035.75,6464.76,9570.99,0
Atlanta,Weekly,5/5/2019 0:00,Conventional ,1.15,873982.68,354972.8,32077.27,4580.2,482352.41,380840.14,88417.31,13094.96
Atlanta,Weekly,5/5/2019 0:00,Organic,1.85,12761.72,64.1,3336.22,0,9361.4,4812.47,4548.93,0
Atlanta,Weekly,5/12/2019 0:00,Conventional ,1.14,745499.73,315635.87,28408.36,3214.62,398240.88,305332.14,79035.35,13873.39
Atlanta,Weekly,5/12/2019 0:00,Organic,1.74,13033.89,133.37,3301.28,0,9599.24,6266.96,3332.28,0
Atlanta,Weekly,5/19/2019 0:00,Conventional ,1.2,658753.73,271056.99,30189.66,3496.8,354010.28,268520.2,70387.77,15102.31
Atlanta,Weekly,5/19/2019 0:00,Organic,1.63,12048.67,208.93,3198.18,0,8641.56,7094.42,1547.14,0
Atlanta,Weekly,5/26/2019 0:00,Conventional ,1.16,706177.33,306990.46,31768.1,2926.65,364492.12,278332.97,74417.26,11741.89
Atlanta,Weekly,5/26/2019 0:00,Organic,1.74,19308.79,262.79,2997.49,0,16048.51,9156.25,6892.26,0
Atlanta,Weekly,6/2/2019 0:00,Conventional ,1.04,761008.13,319390.94,28981.01,3366.78,409269.4,295909.19,99612.63,13747.58
Atlanta,Weekly,6/2/2019 0:00,Organic,1.24,33619.08,289.54,3800.46,0,29529.08,22755.71,6773.37,0
Atlanta,Weekly,6/9/2019 0:00,Conventional ,1.05,768092.53,330087.44,29035.92,2662.4,406306.77,330571.74,65608.36,10126.67
Atlanta,Weekly,6/9/2019 0:00,Organic,1.31,23377.45,250.35,4062.75,0,19064.35,10914.3,8150.05,0
Atlanta,Weekly,6/16/2019 0:00,Conventional ,1.16,708637.17,297234.39,27441.3,2616.89,381344.59,309714.6,64454.2,7175.79
Atlanta,Weekly,6/16/2019 0:00,Organic,1.65,15245.75,196.27,3158.97,0,11890.51,8638.53,3251.98,0
Atlanta,Weekly,7/14/2019 0:00,Conventional ,1.32,639591.46,266196.26,27810.88,2386.64,343197.68,294005.4,40408.94,8783.34
Atlanta,Weekly,7/7/2019 0:00,Conventional ,1.29,706438.49,319603.65,29972.16,2541.26,354321.42,299558.99,45360.77,9401.66
Atlanta,Weekly,6/30/2019 0:00,Conventional ,1.25,661223.81,287920.31,24930.87,2611.75,345760.88,276146.3,60211.82,9402.76
Atlanta,Weekly,6/23/2019 0:00,Conventional ,1.21,705417.76,325860.67,28622.51,2606.88,348327.7,270795.27,66930.21,10602.22
Atlanta,Weekly,7/14/2019 0:00,Organic,2.16,22968.81,242.45,3286.51,0,19439.85,7674.89,11764.96,0
Atlanta,Weekly,7/7/2019 0:00,Organic,2.05,31415.8,258.6,5746.09,0,25411.11,13467.03,11944.08,0
Atlanta,Weekly,6/30/2019 0:00,Organic,1.65,43217.59,149.96,3953.4,0,39114.23,30351.94,8762.29,0
Atlanta,Weekly,6/23/2019 0:00,Organic,2.21,12377.5,172.32,3648.35,0,8556.83,4610.64,3946.19,0
Atlanta,Weekly,7/21/2019 0:00,Conventional ,1.35,631173.63,247513.64,27269.66,2561.77,353828.56,302659.28,41744.93,9424.35
Atlanta,Weekly,7/21/2019 0:00,Organic,2.24,22493.9,147.42,3163.57,0,19182.91,7297.75,11885.16,0
Atlanta,Weekly,7/28/2019 0:00,Conventional ,1.36,633866.06,237960.19,24524.97,2510.9,368870,304570.62,55046.05,9253.33
Atlanta,Weekly,7/28/2019 0:00,Organic,2.15,16251.77,237.17,3146.35,0,12868.25,7462.35,5405.9,0
Atlanta,Weekly,8/4/2019 0:00,Conventional ,1.29,680375.17,260260.16,26499.9,2677.6,390937.51,317153.2,65534.83,8249.48
Atlanta,Weekly,8/4/2019 0:00,Organic,2.18,18961.97,176.51,3273.51,0,15511.95,8150.83,7361.12,0
Atlanta,Weekly,8/11/2019 0:00,Conventional ,1.25,659651.93,240636.91,26525.68,2439.05,390050.29,310158.47,68424.82,11467
Atlanta,Weekly,8/11/2019 0:00,Organic,1.94,20003.71,152.3,3181.99,0,16669.42,13060.06,3609.36,0
Atlanta,Weekly,9/8/2019 0:00,Conventional ,1.08,771841.85,298975.77,26676.13,2225.82,443964.13,373020.89,62801.79,8141.45
Atlanta,Weekly,9/1/2019 0:00,Conventional ,1.05,810821.26,281440.78,23959.43,1990.01,503431.04,417051.17,77238.14,9141.73
Atlanta,Weekly,8/25/2019 0:00,Conventional ,1.2,700719,268493.46,26490.02,2162.82,403572.7,308824.45,85533.57,9214.68
Atlanta,Weekly,8/18/2019 0:00,Conventional ,1.23,666326.69,251868.69,25294.38,2160.51,387003.11,310747.14,67345.39,8910.58
Atlanta,Weekly,9/8/2019 0:00,Organic,1.48,17572.57,138.95,3007.88,0,14425.74,13289.06,1136.68,0
Atlanta,Weekly,9/1/2019 0:00,Organic,1.28,23632.36,226.42,2763.17,0,20642.77,20097.8,544.97,0
Atlanta,Weekly,8/25/2019 0:00,Organic,1.32,41752.26,231.4,2737.08,0,38783.78,37779.49,1004.29,0
Atlanta,Weekly,8/18/2019 0:00,Organic,1.49,31199.54,207.29,2777.84,0,28214.41,26662.49,1551.92,0
Atlanta,Weekly,10/6/2019 0:00,Conventional ,1.03,756462.43,258362.42,98464.4,1944.58,397691.03,255329.35,141426.55,935.13
Atlanta,Weekly,9/29/2019 0:00,Conventional ,1.16,671147.51,242294.13,85427.38,1812.72,341613.28,190502.74,150900.9,209.64
Atlanta,Weekly,9/22/2019 0:00,Conventional ,1.17,647830.95,267908.23,54416.42,1846.74,323659.56,174368.63,148907.12,383.81
Atlanta,Weekly,9/15/2019 0:00,Conventional ,1.18,707205.4,306090.51,27795.35,2140.56,371178.98,296408.04,68200.18,6570.76
Atlanta,Weekly,10/6/2019 0:00,Organic,1.21,57521.53,102.53,3722.93,0,53696.07,42703.52,10992.55,0
Atlanta,Weekly,9/29/2019 0:00,Organic,1.35,57406.01,112.64,2722.09,0,54571.28,46836.22,7735.06,0
Atlanta,Weekly,9/22/2019 0:00,Organic,1.53,37665.38,105.46,2890.3,0,34669.62,24919.24,9750.38,0
Atlanta,Weekly,9/15/2019 0:00,Organic,1.27,38781.37,189.99,2606.23,0,35985.15,34814.07,1171.08,0
Atlanta,Weekly,11/3/2019 0:00,Conventional ,0.96,700829.75,283218.83,33818.74,1759.57,382032.61,322743.06,59278.19,11.36
Atlanta,Weekly,10/27/2019 0:00,Conventional ,0.93,718418.74,286150.55,36308.39,1768.15,394191.65,330638.79,63537.24,15.62
Atlanta,Weekly,10/20/2019 0:00,Conventional ,1.03,692659.56,262651.3,40191.39,1765.44,388051.43,318520.11,69480.64,50.68
Atlanta,Weekly,10/13/2019 0:00,Conventional ,1.1,669313.18,247347.6,52822.09,1667.78,367475.71,295000.55,72435.24,39.92
Atlanta,Weekly,11/3/2019 0:00,Organic,1.04,38861.95,243.59,2897.18,0,35721.18,31315.43,4405.75,0
Atlanta,Weekly,10/27/2019 0:00,Organic,0.91,49673.78,169.57,2818.98,0,46685.23,46349.1,336.13,0
Atlanta,Weekly,10/20/2019 0:00,Organic,1.06,28886.18,205.8,2356.09,0,26324.29,26146.27,178.02,0
Atlanta,Weekly,10/13/2019 0:00,Organic,1.08,44754.43,165.3,3193.56,0,41395.57,38089.89,3305.68,0
Atlanta,Weekly,12/1/2019 0:00,Conventional ,1,573949,225375,26120,1234,321220,269201,51557,462
Atlanta,Weekly,11/24/2019 0:00,Conventional ,0.95,631251,238651,27252,1655,363692,308662,52156,2874
Atlanta,Weekly,11/17/2019 0:00,Conventional ,0.98,681294,281849,31539,1718,366187,315289,50393,505
Atlanta,Weekly,11/10/2019 0:00,Conventional ,1.06,651048,264865,31527,1773,352883,294934,57757,192
Atlanta,Weekly,12/1/2019 0:00,Organic,1.34,16734,161,2080,0,14492,14387,106,0
Atlanta,Weekly,11/24/2019 0:00,Organic,1.17,18227,112,1789,0,16326,15475,851,0
Atlanta,Weekly,11/17/2019 0:00,Organic,1.18,31656,167,1913,0,29576,26552,3024,0
Atlanta,Weekly,11/10/2019 0:00,Organic,1.37,25325,159,2308,0,22858,18629,4229,0
Atlanta,Weekly,12/29/2019 0:00,Conventional ,0.94,622337.92,276627.76,27302.08,1336.18,317071.9,278509.36,38484.45,78.09
Atlanta,Weekly,12/22/2019 0:00,Conventional ,0.98,585604.01,260431.19,27918.14,1572.89,295681.79,254192.51,41336.45,152.83
Atlanta,Weekly,12/15/2019 0:00,Conventional ,0.97,622852.92,272882.66,27189.72,1609.33,321171.21,270970.13,49919.16,281.92
Atlanta,Weekly,12/8/2019 0:00,Conventional ,1.02,653758.8,290822.21,30317.88,1586.64,331032.07,276065.67,54835.1,131.3
Atlanta,Weekly,12/29/2019 0:00,Organic,1.4,24927.77,85.67,2616.87,0,22225.23,15197.62,7027.61,0
Atlanta,Weekly,12/22/2019 0:00,Organic,1.71,22364.73,141.09,2306.4,0,19917.24,13379.22,6538.02,0
Atlanta,Weekly,12/15/2019 0:00,Organic,1.6,22950.67,125.77,2395.52,0,20429.38,14891.31,5538.07,0
Atlanta,Weekly,12/8/2019 0:00,Organic,1.33,20777.09,179.42,2440.94,0,18156.73,18140.48,16.25,0
Atlanta,Weekly,1/26/2020 0:00,Conventional ,0.93,827996.78,388506.03,35682.99,2772.47,401035.29,331555.58,69328.18,151.53
Atlanta,Weekly,1/19/2020 0:00,Conventional ,0.88,824648.09,381041.13,34983.18,3683.86,404939.92,351862.68,52910.96,166.28
